"","par.index","estimate","se","fixed","note","group","cohort","age","time","occ","occ.cohort","stratum","tostratum","Cohort","Age","Time","stock","sex","A","B","X","toA","toB","toX"
"Psi sX toB gUnalakleetF c1 a1 o2 t2",320,0.861470893642234,0.262030673853743,"     ","","UnalakleetF","1","1","2",2,1,"X","B",0,1,1,"Unalakleet","F",0,0,1,0,1,0
"Psi sX toB gUnalakleetF c1 a2 o3 t3",321,0.861470893639752,0.123341562518268,"     ","","UnalakleetF","1","2","3",3,1,"X","B",0,2,2,"Unalakleet","F",0,0,1,0,1,0
"Psi sX toB gUnalakleetF c2 a0 o2 t2",322,0.861470893642234,0.262030673853743,"     ","","UnalakleetF","2","0","2",2,2,"X","B",1,0,1,"Unalakleet","F",0,0,1,0,1,0
"Psi sX toB gUnalakleetF c2 a1 o3 t3",323,0.861470893639752,0.123341562518268,"     ","","UnalakleetF","2","1","3",3,2,"X","B",1,1,2,"Unalakleet","F",0,0,1,0,1,0
"Psi sX toB gUnalakleetF c3 a0 o3 t3",324,0.861470893639752,0.123341562518268,"     ","","UnalakleetF","3","0","3",3,3,"X","B",2,0,2,"Unalakleet","F",0,0,1,0,1,0
"Psi sA toB gShaktoolikM c1 a0 o1 t1",325,0.245236453975984,0.0338998652743409,"     ","","ShaktoolikM","1","0","1",1,1,"A","B",0,0,0,"Shaktoolik","M",1,0,0,0,1,0
"Psi sA toB gShaktoolikM c1 a1 o2 t2",326,0.109294024985572,0.0294438805220219,"     ","","ShaktoolikM","1","1","2",2,1,"A","B",0,1,1,"Shaktoolik","M",1,0,0,0,1,0
"Psi sA toB gShaktoolikM c1 a2 o3 t3",327,0.0374088332579173,0.0356911379797049,"     ","","ShaktoolikM","1","2","3",3,1,"A","B",0,2,2,"Shaktoolik","M",1,0,0,0,1,0
"Psi sA toB gShaktoolikM c2 a0 o2 t2",328,0.109294024985572,0.0294438805220219,"     ","","ShaktoolikM","2","0","2",2,2,"A","B",1,0,1,"Shaktoolik","M",1,0,0,0,1,0
"Psi sA toB gShaktoolikM c2 a1 o3 t3",329,0.0374088332579173,0.0356911379797049,"     ","","ShaktoolikM","2","1","3",3,2,"A","B",1,1,2,"Shaktoolik","M",1,0,0,0,1,0
"Psi sA toB gShaktoolikM c3 a0 o3 t3",330,0.0374088332579173,0.0356911379797049,"     ","","ShaktoolikM","3","0","3",3,3,"A","B",2,0,2,"Shaktoolik","M",1,0,0,0,1,0
"Psi sA toX gShaktoolikM c1 a0 o1 t1",331,0.0356672976345205,0.00647648967672525,"     ","","ShaktoolikM","1","0","1",1,1,"A","X",0,0,0,"Shaktoolik","M",1,0,0,0,0,1
"Psi sA toX gShaktoolikM c1 a1 o2 t2",332,0.0158957704157247,0.00428525124049382,"     ","","ShaktoolikM","1","1","2",2,1,"A","X",0,1,1,"Shaktoolik","M",1,0,0,0,0,1
"Psi sA toX gShaktoolikM c1 a2 o3 t3",333,0.0054407574371762,0.00491011898338376,"     ","","ShaktoolikM","1","2","3",3,1,"A","X",0,2,2,"Shaktoolik","M",1,0,0,0,0,1
"Psi sA toX gShaktoolikM c2 a0 o2 t2",334,0.0158957704157247,0.00428525124049382,"     ","","ShaktoolikM","2","0","2",2,2,"A","X",1,0,1,"Shaktoolik","M",1,0,0,0,0,1
"Psi sA toX gShaktoolikM c2 a1 o3 t3",335,0.0054407574371762,0.00491011898338376,"     ","","ShaktoolikM","2","1","3",3,2,"A","X",1,1,2,"Shaktoolik","M",1,0,0,0,0,1
"Psi sA toX gShaktoolikM c3 a0 o3 t3",336,0.0054407574371762,0.00491011898338376,"     ","","ShaktoolikM","3","0","3",3,3,"A","X",2,0,2,"Shaktoolik","M",1,0,0,0,0,1
"Psi sB toA gShaktoolikM c1 a0 o1 t1",337,0.00331780178679858,0.000981564127986623,"     ","","ShaktoolikM","1","0","1",1,1,"B","A",0,0,0,"Shaktoolik","M",0,1,0,1,0,0
