"","par.index","estimate","se","fixed","note","group","cohort","age","time","occ","occ.cohort","stratum","Cohort","Age","Time","stock","sex","A","B","X"
"S sA gUnalakleetM c2 a1 o3 t3",95,0.434663075040745,0.140875200281993,"     ","","UnalakleetM","2","1","3",3,2,"A",1,1,2,"Unalakleet","M",1,0,0
"S sA gUnalakleetM c3 a0 o3 t3",96,0.434663075040745,0.140875200281993,"     ","","UnalakleetM","3","0","3",3,3,"A",2,0,2,"Unalakleet","M",1,0,0
"S sB gUnalakleetM c1 a0 o1 t1",97,0.999999999981126,3.57531315302418e-12,"     ","","UnalakleetM","1","0","1",1,1,"B",0,0,0,"Unalakleet","M",0,1,0
"S sB gUnalakleetM c1 a1 o2 t2",98,0.417352179944026,0.0316999517498391,"     ","","UnalakleetM","1","1","2",2,1,"B",0,1,1,"Unalakleet","M",0,1,0
"S sB gUnalakleetM c1 a2 o3 t3",99,0.186213884375207,0.0346618873286272,"     ","","UnalakleetM","1","2","3",3,1,"B",0,2,2,"Unalakleet","M",0,1,0
"S sB gUnalakleetM c2 a0 o2 t2",100,0.417352179944026,0.0316999517498391,"     ","","UnalakleetM","2","0","2",2,2,"B",1,0,1,"Unalakleet","M",0,1,0
"S sB gUnalakleetM c2 a1 o3 t3",101,0.186213884375207,0.0346618873286272,"     ","","UnalakleetM","2","1","3",3,2,"B",1,1,2,"Unalakleet","M",0,1,0
"S sB gUnalakleetM c3 a0 o3 t3",102,0.186213884375207,0.0346618873286272,"     ","","UnalakleetM","3","0","3",3,3,"B",2,0,2,"Unalakleet","M",0,1,0
"S sX gUnalakleetM c1 a0 o1 t1",103,0.999999999746673,4.79875065169984e-11,"     ","","UnalakleetM","1","0","1",1,1,"X",0,0,0,"Unalakleet","M",0,0,1
"S sX gUnalakleetM c1 a1 o2 t2",104,0.0506632370971021,0.0319340163475415,"     ","","UnalakleetM","1","1","2",2,1,"X",0,1,1,"Unalakleet","M",0,0,1
"S sX gUnalakleetM c1 a2 o3 t3",105,0.0167624052151222,0.0112704330908341,"     ","","UnalakleetM","1","2","3",3,1,"X",0,2,2,"Unalakleet","M",0,0,1
"S sX gUnalakleetM c2 a0 o2 t2",106,0.0506632370971021,0.0319340163475415,"     ","","UnalakleetM","2","0","2",2,2,"X",1,0,1,"Unalakleet","M",0,0,1
"S sX gUnalakleetM c2 a1 o3 t3",107,0.0167624052151222,0.0112704330908341,"     ","","UnalakleetM","2","1","3",3,2,"X",1,1,2,"Unalakleet","M",0,0,1
"S sX gUnalakleetM c3 a0 o3 t3",108,0.0167624052151222,0.0112704330908341,"     ","","UnalakleetM","3","0","3",3,3,"X",2,0,2,"Unalakleet","M",0,0,1
