"","tag.ID","ch","stat.week","year","species","stock","sex"
"299",4635,"ABA",33,2020,"coho","Shaktoolik","M"
"300",4650,"AA0",33,2021,"coho","Shaktoolik","M"
"301",4750,"AXA",33,2021,"coho","Shaktoolik","M"
"302",4810,"AA0",34,2021,"coho","Shaktoolik","M"
"303",4930,"AA0",35,2021,"coho","Shaktoolik","M"
"304",5275,"AA0",33,2020,"coho","Shaktoolik","F"
"305",5375,"AA0",33,2020,"coho","Shaktoolik","F"
"306",5615,"AA0",33,2020,"coho","Shaktoolik","F"
"307",5755,"AA0",33,2020,"coho","Shaktoolik","F"
"308",6015,"AA0",33,2020,"coho","Shaktoolik","M"
"309",6075,"AA0",33,2020,"coho","Shaktoolik","F"
"310",6215,"AA0",33,2020,"coho","Shaktoolik","F"
"311",6275,"AA0",33,2020,"coho","Shaktoolik","M"
"312",6315,"AA0",33,2020,"coho","Shaktoolik","F"
"313",6395,"AA0",33,2020,"coho","Shaktoolik","F"
"314",6475,"AA0",34,2020,"coho","Shaktoolik","F"
"315",6535,"AA0",34,2020,"coho","Shaktoolik","M"
"316",6555,"AA0",34,2020,"coho","Shaktoolik","M"
"317",6595,"AA0",34,2020,"coho","Shaktoolik","F"
"318",6655,"AA0",34,2020,"coho","Shaktoolik","M"
"319",6675,"AA0",34,2020,"coho","Shaktoolik","F"
"320",6695,"AA0",34,2020,"coho","Shaktoolik","F"
"321",6715,"AA0",34,2020,"coho","Shaktoolik","F"
"322",6875,"AA0",34,2020,"coho","Shaktoolik","M"
"323",6895,"AA0",34,2020,"coho","Shaktoolik","M"
"324",6935,"AA0",34,2020,"coho","Shaktoolik","F"
"325",6975,"AA0",34,2020,"coho","Shaktoolik","M"
"326",7035,"AA0",34,2020,"coho","Shaktoolik","M"
"327",7075,"AA0",34,2020,"coho","Shaktoolik","F"
"328",7115,"AA0",34,2020,"coho","Shaktoolik","M"
"329",7155,"AA0",34,2020,"coho","Shaktoolik","M"
"330",7175,"AA0",34,2020,"coho","Shaktoolik","M"
"331",7195,"AA0",34,2020,"coho","Shaktoolik","F"
"332",7295,"AA0",35,2020,"coho","Shaktoolik","M"
"333",7355,"AA0",35,2020,"coho","Shaktoolik","F"
"334",7615,"AXA",35,2020,"coho","Shaktoolik","F"
"335",7815,"AA0",35,2020,"coho","Shaktoolik","F"
"336",7935,"AA0",35,2020,"coho","Shaktoolik","F"
"337",7975,"AA0",35,2020,"coho","Shaktoolik","M"
