tag.ID,capture,det,recap,ch
5915,A,445U,NA,ABB
5935,A,4,NA,AB
5955,A,45U,NA,ABB
5975,A,4,NA,AB
5995,A,4567,NA,ABX
6015,A,S,NA,AA
6035,A,NA,NA,A
6055,A,45U,NA,ABB
6075,A,S,NA,AA
6095,A,45U,NA,ABB
6115,A,45U,NA,ABB
6135,A,4E,NA,ABB
6155,A,4,NA,AB
6175,A,45,U,ABB
6195,A,NA,NA,A
6215,A,NA,S,AA
6235,A,4,B,AB
6255,A,4,NA,AB
6275,A,S,NA,AA
6295,A,45,B,AB
6315,A,S,NA,AA
6335,A,455667,NA,ABX
6355,A,4,NA,AB
6375,A,32N,NA,AXX
6395,A,T,NA,AA
6415,A,3234567,NA,ABX
6435,A,NA,NA,A
6455,A,NA,NA,A
6475,A,S,NA,AA
6495,A,NA,NA,A
6515,A,4,NA,AB
6535,A,S,S,AA
6555,A,S,NA,AA
6575,A,45U,NA,ABB
6595,A,S,NA,AA
6615,A,34,NA,AXAB
6635,A,67,NA,ABX
6655,A,T,NA,AA
6675,A,S,NA,AA
6695,A,S,NA,AA
6715,A,S,NA,AA
6735,A,NA,NA,A
6755,A,45U,NA,ABB
6775,A,33,NA,AXA
6815,A,45U,NA,ABB
6835,A,45554556,NA,ABAB
6855,A,NA,NA,A
6875,A,S,NA,AA
6895,A,TS,NA,AA
6915,A,NA,NA,A
6935,A,S,NA,AA
6955,A,45U,NA,ABB
6975,A,T,NA,AA
6995,A,45U,NA,ABB
7015,A,455U,NA,ABB
7035,A,SST,NA,AA
7055,A,4567,NA,ABX
7075,A,S,NA,AA
7115,A,S,NA,AA
7135,A,45U,NA,ABB
7155,A,S,NA,AA
7175,A,S,NA,AA
7195,A,S,NA,AA
7215,A,45U,NA,ABB
7235,A,4E,NA,ABB
7255,A,4,NA,AB
7275,A,45,NA,AB
7295,A,S,NA,AA
7315,A,4,NA,AB
7335,A,45,NA,AB
7355,A,S,NA,AA
7375,A,45,NA,AB
7395,A,45U,U,ABB
7415,A,4E,NA,ABB
7435,A,45,NA,AB
7475,A,45U,NA,ABB
7495,A,44,NA,ABA
7515,A,4,NA,AB
7535,A,4,NA,AB
7555,A,4,NA,AB
7575,A,4,NA,AB
7595,A,NA,NA,A
7615,A,323S,NA,AXAA
7635,A,45,NA,AB
7655,A,44,NA,ABA
7675,A,3,NA,AX
7695,A,4567,NA,ABX
7715,A,45,NA,AB
7735,A,NA,NA,A
7755,A,NA,NA,A
7775,A,NA,NA,A
7815,A,S,NA,AA
7835,A,45U,NA,ABB
7875,A,4,NA,AB
7895,A,47,NA,ABX
7915,A,NA,NA,A
7935,A,S,NA,AA
7955,A,45U,NA,ABB
7975,A,S,NA,AA
7995,A,45,NA,AB
