tag.ID,date.time,lat,long,sex,species,stock
1675,8/15/2020 6:45,64.368624,-161.112718,M,coho,5
1695,8/11/2020 14:28,64.0753,-160.9474,M,coho,6
1695,8/12/2020 10:10,64.131287,-160.957982,M,coho,6
1695,8/15/2020 9:13,64.368624,-161.112718,M,coho,6
1695,8/18/2020 7:14,64.366297,-161.093039,M,coho,6
1695,8/18/2020 21:48,64.131287,-160.957982,M,coho,6
1695,8/19/2020 5:10,63.953142,-160.882113,M,coho,6
1695,8/19/2020 13:24,63.555623,-161.051248,M,coho,6
1710,8/23/2021 15:18,64.03437,-160.92361,F,coho,NA
1710,8/24/2021 7:26,63.953475,-160.869926,F,coho,NA
1715,8/12/2020 10:32,63.95433,-160.85193,F,coho,NA
1715,8/12/2020 15:21,63.953475,-160.869926,F,coho,NA
1730,8/23/2021 15:18,64.03437,-160.92361,M,coho,6
1730,8/24/2021 1:15,63.953841,-160.857668,M,coho,6
1730,8/24/2021 22:13,63.557764,-161.056892,M,coho,6
1735,8/12/2020 10:32,63.95433,-160.85193,F,coho,6
1735,8/12/2020 10:37,63.95299,-160.888171,F,coho,6
1735,8/13/2020 17:38,63.953644,-160.863799,F,coho,6
1735,8/14/2020 18:57,63.557764,-161.056892,F,coho,6
1755,8/12/2020 10:53,63.95433,-160.85193,F,coho,6
1755,8/12/2020 10:59,63.95299,-160.888171,F,coho,6
1755,8/15/2020 6:46,63.557764,-161.056892,F,coho,6
1770,8/23/2021 15:19,64.03437,-160.92361,M,coho,6
1770,8/24/2021 1:34,63.953841,-160.857668,M,coho,6
1770,8/24/2021 16:04,63.557764,-161.056892,M,coho,6
