287,455U,A455UB,ABBB,U,ABB
288,4U,A4U,ABB,NA,ABB
289,45U,A45U,ABB,NA,ABB
291,4445U,A4445U,AB44B,NA,ABB
292,44E,A44E,AB4B,NA,ABB
295,4E,A4E,ABB,NA,ABB
296,45U,A45U,ABB,NA,ABB
297,4E,A4E,ABB,NA,ABB
298,45U,A45U,ABB,NA,ABB
299,45U,A45U,ABB,NA,ABB
301,456G,A456G,ABB,NA,ABB
302,45U,A45U,ABB,NA,ABB
332,45U,A45U,ABB,NA,ABB
334,4E,A4E,ABB,NA,ABB
335,45U,A45U,ABB,NA,ABB
337,45U,A45U,ABB,NA,ABB
338,4E,A4E,ABB,NA,ABB
339,45U,A45U,ABB,NA,ABB
359,45U,A45U,ABB,NA,ABB
360,4U,A4U,ABB,NA,ABB
361,345U,A345U,AY4B,NA,ABB
383,67U,A67UB,A7BB,U,A0BB
384,5U,A5U,AB,NA,A0BB
390,45U,A45U,ABB,NA,ABB
392,445U,A445U,AB4B,NA,ABB
393,45U,A45U,ABB,NA,ABB
398,EE5U,AEE5U,ABBB,NA,A0BB
528,45U,A45U,ABB,NA,ABB
529,5U,A5U,AB,NA,A0BB
539,45U,A45U,ABB,NA,ABB
543,45U,A45U,ABB,NA,ABB
551,4U,A4UB,ABBB,U,ABB
558,45U,A45U,ABB,NA,ABB
567,45U,A45U,ABB,NA,ABB
579,4U,A4U,ABB,NA,ABB
581,45U,A45U,ABB,NA,ABB
589,45U,A45UB,ABBB,U,ABB
722,5U,A5U,AB,NA,A0BB
724,45U,A45U,ABB,NA,ABB
734,45U,A45U,ABB,NA,ABB
737,455U,A455U,ABB,NA,ABB
739,45U,A45U,ABB,NA,ABB
741,45U,A45U,ABB,NA,ABB
743,45U,A45U,ABB,NA,ABB
744,45U,A45U,ABB,NA,ABB
749,5U,A5U,AB,NA,A0BB
751,45U,A45U,ABB,NA,ABB
755,45U,A45U,ABB,NA,ABB
758,4445U,A4445U,AB44B,NA,ABB
760,45U,A45U,ABB,NA,ABB
761,45U,A45U,ABB,NA,ABB
762,45U,A45U,ABB,NA,ABB
765,45U,A45U,ABB,NA,ABB
767,45U,A45U,ABB,NA,ABB
780,45U,A45U,ABB,NA,ABB
783,45U,A45U,ABB,NA,ABB
786,45U,A45U,ABB,NA,ABB
787,45U,A45U,ABB,NA,ABB
788,45U,A45U,ABB,NA,ABB
789,45U,A45U,ABB,NA,ABB
795,45U,A45U,ABB,NA,ABB
799,456G,A456G,ABB,NA,ABB
807,45U,A45U,ABB,NA,ABB
808,45U,A45U,ABB,NA,ABB
811,45U,A45U,ABB,NA,ABB
816,45U,A45U,ABB,NA,ABB
820,45U,A45U,ABB,NA,ABB
822,45U,A45U,ABB,NA,ABB
823,45U,A45U,ABB,NA,ABB
829,45U,A45U,ABB,NA,ABB
833,45U,A45U,ABB,NA,ABB
840,45U,A45U,ABB,NA,ABB
848,45U,A45U,ABB,NA,ABB
849,45U,A45U,ABB,NA,ABB
854,45U,A45U,ABB,NA,ABB
856,45U,A45U,ABB,NA,ABB
857,45U,A45U,ABB,NA,ABB
865,445U,A445UB,AB4BB,U,ABB
870,345U,A345U,AY4B,NA,ABB
873,45U,A45U,ABB,NA,ABB
874,455U,A455U,ABB,NA,ABB
880,4U,A4U,ABB,NA,ABB
213,45,A45B,ABB,U,ABB
220,45,A45B,ABB,U,ABB
247,45,A45B,ABB,U,ABB
263,45,A45B,ABB,U,ABB
266,45,A45B,ABB,U,ABB
267,455,A455B,ABB,U,ABB
293,4,A4B,ABB,E,ABB
569,4,A4B,ABB,U,ABB
575,4,A4B,ABB,U,ABB
586,45,A45B,ABB,U,ABB
588,4,A4B,ABB,U,ABB
591,45,A45B,ABB,U,ABB
268,43,A43,AB3,NA,ABAY
831,42,A42,AB2,NA,ABAY
121,45554556,A45554556,AB4,NA,ABAB
290,44S,A44S,AB4A,NA,ABAA
525,4T,A4T,ABA,NA,ABAA
532,44S,A44S,AB4A,NA,ABAA
731,4554S,A4554S,AB4A,NA,ABAA
763,44S,A44S,AB4A,NA,ABAA
815,44S,A44S,AB4A,NA,ABAA
838,4S,A4S,ABA,NA,ABAA
842,45544554S,A45544554S,AB444A,NA,ABAA
853,4S,A4S,ABA,NA,ABAA
860,4S,A4S,ABA,NA,ABAA
35,44,A44,AB4,NA,ABA
43,44,A44,AB4,NA,ABA
218,44,A44,AB4,NA,ABA
272,4554,A4554,AB4,NA,ABA
583,44,A44,AB4,NA,ABA
1,4,A4,AB,NA,AB
7,45,A45,AB,NA,AB
32,45,A45,AB,NA,AB
36,4,A4,AB,NA,AB
37,4,A4,AB,NA,AB
38,4,A4,AB,NA,AB
39,4,A4,AB,NA,AB
42,45,A45,AB,NA,AB
46,45,A45,AB,NA,AB
50,4,A4,AB,NA,AB
53,45,A45,AB,NA,AB
72,4,A4,AB,NA,AB
73,45,A45,AB,NA,AB
75,4,A4,AB,NA,AB
76,45,A45,AB,NA,AB
78,45,A45,AB,NA,AB
149,4,A4,AB,NA,AB
163,4,A4B,ABB,6a,AB
164,4,A4,AB,NA,AB
166,45,A45B,ABB,6b,AB
169,4,A4,AB,NA,AB
222,4,A4,AB,NA,AB
228,45,A45,AB,NA,AB
230,4,A4,AB,NA,AB
232,4,A4,AB,NA,AB
241,4,A4,AB,NA,AB
246,4,A4,AB,NA,AB
249,4,A4,AB,NA,AB
251,4,A4,AB,NA,AB
256,45,A45B,ABB,6b,AB
257,45,A45,AB,NA,AB
270,4,A4,AB,NA,AB
294,445,A445,AB4,NA,AB
333,45,A45,AB,NA,AB
336,4,A4,AB,NA,AB
380,45,A45,AB,NA,AB
397,45,A45B,ABB,6b,AB
521,45,A45B,ABB,6b,AB
522,45,A45B,ABB,6b,AB
523,4,A4B,ABB,6,AB
530,4,A4B,ABB,6,AB
534,4,A4B,ABB,6,AB
538,4,A4B,ABB,6a,AB
540,4,A4B,ABB,6a,AB
554,4,A4,AB,NA,AB
