ID	FirstFound	LastPresent	LastChecked	Fate	Freq	Year	HenAge	Date	Dlek	Sage	NonSage	RoadD500	All1000	NMG_Ht	AvgGrsHt100
160.156-2-2008	10	18	21	1	1	2008	Adult	1.071746193	-0.894048192	0.693181334	-0.591839584	1.703005704	0.095973967	0	0.181986914
160.428-1-2008	13	25	29	1	1	2008	Adult	-0.888081914	0.103852442	0.12421435	-0.62869043	-0.853394109	0.679042949	-0.205947881	-0.394910657
160.509-1-2008	9	30	37	1	1	2008	Adult	-0.032733207	0.340650501	-0.934696424	-0.278607393	2.729016814	0.522515124	-0.763222427	-0.907375512
160.541-1-2008	10	26	29	1	1	2008	Adult	-0.447951026	0.380566706	-0.397338718	-0.333883662	-0.853394109	-0.653414584	0.646634545	-0.841294517
160.640-1-2008	9	31	32	1	1	2008	Adult	0.15826699	0.529585626	0.282260735	-0.62869043	-0.853394109	0.786658747	0.294170302	-0.732058588
160.770-1-2008	11	18	20	1	1	2008	Adult	-0.389820531	0.898321686	-1.092742808	1.821890829	-0.262123066	0.279895995	-0.301208487	0.390269413
160.898-1-2008	12	17	22	1	1	2008	Adult	-0.11577677	-0.615549394	0.076800435	-0.62869043	0.868242029	0.01770672	-0.27977485	0.122948565
159.013-2-2008	8	14	17	1	1	2008	Juvenile	1.071746193	1.496338906	4.517903832	-0.62869043	1.129126991	0.681003966	-0.247227477	-0.558668223
160.275-1-2008	9	10	12	1	1	2008	Unknown	-0.423037957	0.100060873	-0.444752633	-0.62869043	-0.40122761	0.786658747	0.768885656	-0.808478786
160.275-2-2008	14	37	37	0	1	2008	Unknown	0.714658868	-0.134761614	0.060995797	-0.62869043	1.250839205	0.786658747	0.03458515	-0.327481071
159.056N109	32	39	39	0	1	2009	Adult	0.058614714	1.741174689	-1.712284634	0.255729874	-0.853394109	-4.151855158	-0.679869397	-0.705086753
159.379N109	18	39	39	0	1	2009	Adult	0.390788969	2.203461486	1.944908697	-0.190165363	0.711745154	0.524469471	0.197322019	0.894680179
159.499N109	14	40	40	0	1	2009	Adult	-0.356603106	-0.94003096	-1.285559397	-0.145944348	0.503071286	0.733831357	-0.024952729	-0.68710553
159.643N109	12	38	38	0	1	2009	Adult	0.390788969	3.151812064	-1.190731566	4.080847689	-0.279515397	-0.800164005	-0.517132528	-0.091477519
159.728N109	13	38	38	0	1	2009	Adult	0.058614714	2.169704806	0.531974022	-0.020651471	0.90302669	0.420769037	-0.203566365	-0.202254696
159.816N109	12	39	39	0	1	2009	Adult	0.390788969	-0.7886469	-0.732397052	-0.62869043	-0.853394109	-0.537974729	-0.485378992	-0.546627226
