Site,Trap No,Time,Mo,Day,Year,Julian,Sex,Age,Total,Bag,Mass,Frequency,Band ID,Wing,Tail,Tars,Culmen,Molt,Color,Recap,Feather,Blood,Par
FM,FM14-9,1900,9,10,2014,253,M,A,535,40,495,149.793,328,18.9,6.8,5.15,2.22,"7,8",,N,Y,N,N
FM,FM14-22,1811,9,13,2014,256,M,A,490,40,450,,328,,,,,,,Y,,,
FM,FM14-8,1900,9,10,2014,253,M,A,540,40,500,149.842,329,18.8,NA,5.06,2.2,8,,N,Y,N,N
FM,FM14-35,1640,9,16,2014,259,M,A,,,,,329,,,,,,,Y,N,N,N
FM,FM14-7,1910,9,10,2014,253,M,A,551,40,511,149.852,330,18.4,NA,5.38,2.04,8,,N,Y,N,N
FM,FM14-22,1811,9,13,2014,256,M,A,545,40,505,,330,,,,,,,Y,,,
FM,FM14-34,1740,9,10,2014,253,M,J,485,40,445,149.742,331,18.4,NA,5.55,2.22,8,,N,Y,N,N
FM,FM14-34,1740,9,10,2014,253,F,J,485,40,445,149.811,332,18.2,6.2,5.11,2.27,8,,N,Y,N,N
FM,FM14-34,1740,9,10,2014,253,M,J,475,40,435,149.304,333,17.8,6.5,5.1,2.27,"8,7",,N,Y,N,N
FM,FM14-34,1740,9,10,2014,253,F,J,450,40,410,149.801,334,18.5,NA,5.02,2.2,8,,N,Y,N,N
FM,FM14-41,1900,9,9,2014,252,F,A,550,40,510,149.883,335,16.7,NA,5.29,2.25,"7,8",,N,Y,N,N
FM,FM14-41,1900,9,9,2014,252,F,A,540,40,500,149.862,336,18.5,,4.95,2.44,"9,10",Gray,N,N,N,N
FM,FM14-11,1900,9,9,2014,252,M,J,485,40,445,149.014,337,17,NA,5.07,7.36,8,Intermediate,N,N,N,N
FM,FM14-1,1835,9,9,2014,252,M,A,630,40,590,149.713,338,19.6,11,5.57,2.47,"9,10",Gray,N,Y,N,N
FM,FM14-13,1730,9,8,2014,251,F,A,455,40,415,149.762,339,17.5,NA,5.09,2.22,8,,N,Y,N,N
FM,FM14-25,1250,9,8,2014,251,F,J,370,40,330,NA,340,17.9,NA,5.02,2.11,8,,N,Y,N,Ticks
FM,FM14-23,1811,9,7,2014,250,M,A,455,40,415,149.884,341,18.8,7.1,5.14,2.36,8,,N,Y,N,N
FM,FM14-20,1640,8,8,2014,220,F,A,530,40,490,149.721,342,18.3,18.5,5.09,2.21,8,,N,Y,N,N
FM,FM14-20,1640,8,8,2014,220,F,A,530,40,490,159.721,342,18.3,13.2,5.09,2.21,8,Brown,N,Y,N,
FM,FM14-20,1904,8,23,2014,235,F,A,495,40,455,149.721,342,,,,,,,Y,N,N,N
FM,FM14-48,1800,9,25,2014,268,M,A,,,,,,,,,,,,N,,,
SM,SM15-16,1016,4,23,2015,113,F,J,575,40,535,150.234,31,17.8,13.9,4.99,1.36,N/A,Red,N,Y,N,N
SM,SM15-30,1850,4,27,2015,117,M,A,620,40+Collar,564,150.321,37,18.5,16.5,5.41,1.58,N/A,-,Y,N,N,N
SM,SM15-16F,1855,8,20,2015,232,F,A,465,40,425,,52,15.9,11.6,4.2,1.3,8,,N,N,N,N
FM,FM15-20F,1055,9,23,2015,266,M,A,625,40,585,149.644,86,19,15.6,5.16,1.42,10,Intermediate,Y,N,N,Y
FM,FM15-57F,1739,9,25,2015,268,M,A,645,40,605,N/A,100,18.8,17.5,5.13,1.99,10,,N,Y,N,N
SM,SM15-6F,903,8,23,2015,235,M,J,490,40,450,150.352,111,18.7,10.2,5,1.9,7,,N,Y,N,N
SM,SM15-34,930,4,25,2015,115,F,U,495,40,455,150.202,112,,-,,,N/A,-,N,N,N,N
SM,SM15-43,852,5,2,2015,122,M,J,550,40,510,150.262,113,,16.6,,,N/A,Red,N,Y,N,N
SM,SM15-15,1911,5,3,2015,123,M,J,565,40,525,150.092,114,18.2,15.5,5.58,1.42,N/A,Gray,N,Y,N,N
SM,SM15-62F,1847,8,26,2015,238,M,J,510,40,470,150.282,115,17.9,9.3,5.4,1.9,"7,8,9",,N,Y,N,N
